Topic 0,Topic 1,label
0.02321755,0.9767825,neutral
0.012358994,0.98764104,neutral
0.56217915,0.4378209,neutral
0.6161692,0.38383073,neutral
0.9044062,0.09559384,positive
0.039509702,0.96049035,neutral
0.63165164,0.36834833,positive
0.30542755,0.6945725,neutral
0.19656202,0.80343795,positive
0.9579884,0.042011615,neutral
0.92256343,0.07743661,positive
0.9393237,0.06067627,neutral
0.6381367,0.36186326,neutral
0.048201118,0.9517989,neutral
0.024061892,0.9759381,positive
0.12956013,0.8704399,neutral
0.32258698,0.67741305,neutral
0.8101275,0.18987249,neutral
0.105751894,0.8942481,positive
0.015167692,0.98483235,neutral
0.6848678,0.31513223,positive
0.07149531,0.9285047,negative
0.072932884,0.9270671,positive
0.02545335,0.9745467,positive
0.08637935,0.91362065,positive
0.14148405,0.858516,positive
0.107204914,0.8927951,negative
0.12236673,0.8776333,positive
0.08720445,0.91279554,positive
0.061375882,0.93862414,positive
0.038628485,0.96137154,positive
0.98260546,0.017394545,positive
0.77611667,0.22388335,positive
0.89348936,0.106510684,neutral
0.068612844,0.9313872,positive
0.7552377,0.2447623,positive
0.7489386,0.25106135,positive
0.060687993,0.9393119,positive
0.026015002,0.973985,positive
0.01145851,0.98854154,positive
0.122368686,0.87763137,positive
0.17019616,0.8298039,neutral
0.018852685,0.9811473,positive
0.061120335,0.93887967,positive
0.10266761,0.89733243,negative
0.011333974,0.988666,neutral
0.19011073,0.80988926,positive
0.25338954,0.7466104,negative
0.029553443,0.9704466,neutral
0.582467,0.41753295,positive
0.011910576,0.98808944,positive
0.05973842,0.94026154,positive
0.015289343,0.98471063,positive
0.019571317,0.98042864,positive
0.033249184,0.9667508,positive
0.03629263,0.9637073,neutral
0.64988387,0.35011607,positive
0.017088,0.982912,negative
0.046322476,0.95367754,negative
0.22411168,0.7758883,positive
0.018955007,0.981045,positive
0.47232065,0.5276794,negative
0.024166442,0.9758336,positive
0.030374743,0.96962523,positive
0.7508454,0.24915463,positive
0.017869405,0.98213065,positive
0.37588555,0.6241145,negative
0.06029207,0.9397079,neutral
0.06034465,0.9396553,positive
0.050969306,0.94903076,neutral
0.38202226,0.61797774,positive
0.7016051,0.29839495,positive
0.043027814,0.9569722,positive
0.32096228,0.6790377,positive
0.03320363,0.9667964,negative
0.038489435,0.9615106,neutral
0.039030977,0.96096903,positive
0.030872967,0.969127,neutral
0.09662267,0.90337735,neutral
0.051887985,0.94811195,positive
0.34809226,0.65190774,negative
0.052385233,0.9476148,positive
0.015139203,0.9848608,neutral
0.016533244,0.98346674,positive
0.10964054,0.8903595,positive
0.14752118,0.8524788,positive
0.020663992,0.979336,neutral
0.071213074,0.92878693,positive
0.45705178,0.5429482,neutral
0.013880509,0.98611945,neutral
0.93750834,0.062491637,neutral
0.016691798,0.98330826,positive
0.015102552,0.98489743,neutral
0.013248189,0.9867518,neutral
0.039408907,0.9605911,neutral
0.47140473,0.5285952,positive
0.024946028,0.97505397,positive
0.3533911,0.6466089,neutral
0.027559288,0.9724407,neutral
0.13160214,0.8683979,neutral
0.013946543,0.9860534,neutral
0.08334611,0.9166539,neutral
0.1798451,0.82015485,positive
0.6211956,0.37880436,neutral
0.14424859,0.85575145,positive
0.28843302,0.7115669,neutral
